,exchange,name,pairs,area_code,coin_trade,fut_trade,oct_trade
0,58coin,58COIN,43,uk,Y,N,Y
1,5yg,牛币网,0,hk,Y,N,N
2,7ebit,7EBIT,83,uk,Y,N,Y
3,9coinexchange,9Coin,32,au,Y,N,Y
4,aacoin,AAcoin,30,uk,Y,N,Y
5,abcc,ABCC,101,sg,Y,N,N
6,acx,ACX,8,au,Y,N,N
7,aex,AEX,86,uk,Y,N,Y
8,aidos-market,AidosMarket,1,,Y,N,N
9,allcoin,Allcoin,68,ca,Y,N,N
10,altcoin-trader,Altcoin Trader,10,za,Y,N,N
11,amom,A.mom,32,hk,Y,N,Y
12,asbtc,爱尚比特,28,hk,Y,N,N
13,bbx,BBX,7,mt,Y,N,N
14,bcex,BCEX,101,ca,Y,N,N
15,betop,Be.Top,36,kr,Y,N,N
16,bgjio,币管家,27,sc,Y,N,Y
17,bgogo,Bgogo,29,ky,Y,N,N
18,bibox,Bibox,194,ee,Y,N,Y
19,biclub,BiClub,9,sc,Y,N,Y
20,bige,币阁,28,hk,Y,N,Y
21,bigone,BigOne,93,,Y,N,N
22,bihuex,币虎全球BihuEX,50,ky,Y,N,N
23,bilaxy,币系,63,sc,Y,N,N
24,binance,币安网,376,,Y,N,N
25,bit-z,Bit-Z,183,us,Y,N,N
26,bit2c,Bit2C,3,,Y,N,N
27,bitbank,Bitbank,8,jp,Y,N,N
28,bitbay,BitBay,31,pl,Y,N,N
29,bitbitx,币币网,29,ca,Y,N,N
30,bitcoin-indonesia,Indodax,31,id,Y,N,N
31,bitcointoyou,BitcoinToYou,1,br,Y,N,N
32,biteceo,CEO交易所,63,hk,Y,N,Y
33,bitex-la,Bitex.la,1,,Y,N,N
34,bitfinex,Bitfinex,249,hk,Y,Y,N
35,bitflip,BitFlip,66,,Y,N,N
36,bitflyer,bitFlyer,4,jp,Y,Y,N
37,bitforex,币夫,118,sg,Y,N,Y
38,bithumb,Bithumb,26,kr,Y,N,N
39,bitinfi,BITINFI,18,hk,Y,N,N
40,bitker,币客,22,sg,Y,N,Y
41,bitlish,Bitlish,32,uk,Y,N,N
42,bitmarket,BitMarket,8,pl,Y,N,N
43,bitmaszyna,Bitmaszyna,2,,Y,N,N
44,bitmex,BitMEX,8,sc,N,Y,N
45,bitonic,Bitonic,1,nl,Y,N,N
46,bitop,BI网,51,,Y,N,N
47,bitrabbit,比特兔交易所,21,au,Y,N,N
48,bits-blockchain,Bits Blockchain,12,,Y,N,N
49,bitsane,Bitsane,35,,Y,N,N
50,bitso,Bitso,11,mx,Y,N,N
51,bitsquare,Bitsquare,6,,Y,N,N
52,bitstamp,Bitstamp,12,uk,Y,N,N
53,bitstamp-ripple-gateway,Bitstamp (Ripple Gateway),7,uk,Y,N,N
54,bitthai,BitThai,0,th,Y,N,N
55,bittrex,B网,280,us,Y,Y,N
56,bittylicious,Bittylicious,38,uk,Y,N,N
57,bizu,币族,26,sc,Y,N,Y
58,bjs,笔加索,22,uk,Y,N,Y
59,bkex,BKEX,17,uk,Y,N,Y
60,bl3p,BL3P,2,nl,Y,N,N
61,bleutrade,Bleutrade,118,,Y,N,N
62,bnt-smart-token-contract,Bancor Network,1,il,Y,N,N
63,boxex,BoxEx,15,ws,Y,N,N
64,braziliex,Braziliex,54,,Y,N,N
65,btb,比特兄弟,58,,Y,N,Y
66,btc-alpha,BTC Alpha,67,us,Y,N,N
67,btc-markets,BTC Markets,11,au,Y,N,N
68,btc-trade-ua,BTC Trade UA,15,,Y,N,N
69,btc-x,BTC-X,1,hk,Y,N,N
70,btc98,比特酒吧,27,hk,Y,N,N
71,btcbl,BTCBL,31,ca,Y,N,Y
72,btcbox,BTCBOX,4,jp,Y,N,N
73,btcdo,币为,24,th,Y,N,N
74,btctrade-im,比特币交易网,23,hk,Y,N,N
75,btcturk,BTCTurk,4,tr,Y,N,N
